feature,importance
BTCUSDT_entropy_bars__volume,0.018512288703399313
BTCUSDT_tick_bars__volume,0.014824985508649073
BTCUSDT_entropy_bars_150__volume,0.010773838874960287
BTCUSDT_1h_clean__volume,0.009731191420093304
BTCUSDT_tick_bars_150__volume,0.007924528496181353
ETHUSDT_1h_clean__open,0.005718896634311638
BTCUSDT_4h_clean__volume,0.0057080964930149945
open,0.00530433751580399
BTCUSDT_dollar_bars__volume,0.0043465684732263725
ETHUSDT_1h_clean__volume,0.004034332934354575
volume,0.0038970145482670514
ETHUSDT_4h_clean__volume,0.002144235903967703
BTCUSDT_volume_bars__volume,0.00015278669224037415
BTCUSDT_volume_bars_150__volume,6.699368069228307e-05
